ratingID,wineID,score,review,userID
400001,100001,5,creamy,500001
400002,100002,5,fresh,500002
400003,100003,3,crisp,500003
400004,100004,4,juicy,500004
400005,100005,1,unoaked,500005
400006,100006,4,spicy,500006
400007,100007,2,nutty,500007
400008,100008,5,soft,500008
400009,100009,3,silky,500009
400010,100010,1,velvety,500010
400011,100011,5,aggressive,500011
400012,100012,2,earthy,500012
400013,100013,0,fragrant,500013
400014,100014,2,abundant,500014
400015,100015,3,delicate,500015
400016,100016,4,elegant,500016
400017,100017,3,dense,500017
400018,100018,2,opulent,500018
400019,100019,3,bone,500019
400020,100020,5,dry,500020
400021,100021,5,medium,500021
400022,100022,3,sweet,500022
400023,100023,3,dense,500023
400024,100024,4,silky,500024
400025,100025,3,medium,500025
400026,100026,0,velvety,500026
400027,100027,4,soft,500027
400028,100028,3,abundant,500028
400029,100029,4,earthy,500029
400030,100030,3,delicate,500030
400031,100031,5,fragrant,500031
400032,100032,2,juicy,500032
400033,100033,4,fresh,500033
400034,100034,3,unoaked,500034
400035,100035,1,crisp,500035
400036,100036,0,spicy,500036
400037,100037,2,creamy,500037
400038,100038,0,nutty,500038
400039,100039,1,opulent,500039
400040,100040,3,aggressive,500040
400041,100041,3,sweet,500041
400042,100042,0,bone,500042
400043,100043,3,dry,500043
400044,100044,0,elegant,500044
400045,100045,2,fresh,500045
400046,100046,1,creamy,500046
400047,100047,5,opulent,500047
400048,100048,0,velvety,500048
400049,100049,1,spicy,500049
400050,100050,3,juicy,500050
400051,100051,0,dry,500051
400052,100052,4,bone,500052
400053,100053,3,unoaked,500053
400054,100054,0,abundant,500054
400055,100055,0,elegant,500055
400056,100056,0,crisp,500056
400057,100057,0,earthy,500057
400058,100058,2,delicate,500058
400059,100059,3,medium,500059
400060,100060,0,dense,500060
400061,100061,1,aggressive,500061
400062,100062,1,soft,500062
400063,100063,5,silky,500063
400064,100064,5,fragrant,500064
400065,100065,3,nutty,500065
400066,100066,3,sweet,500066
400067,100067,2,crisp,500067
400068,100068,2,velvety,500068
400069,100069,3,aggressive,500069
400070,100070,1,spicy,500070
400071,100071,2,dense,500071
400072,100072,0,soft,500072
400073,100073,0,bone,500073
400074,100074,1,nutty,500074
400075,100075,0,fragrant,500075
400076,100076,3,juicy,500076
400077,100077,2,medium,500077
400078,100078,0,earthy,500078
400079,100079,5,silky,500079
