testerID,name,twitter
300001,Kerin O’Keefe,@kerinokeefe
300002,Roger Voss,@vossroger
300003,Paul Gregutt,@paulgwine
300004,Alexander Peartree,
300005,Paul Gregutt,@paulgwine
300006,Michael Schachner,@wineschach
300007,Kerin O’Keefe,@kerinokeefe
300008,Roger Voss,@vossroger
300009,Anna Lee C. Iijima,
300010,Roger Voss,@vossroger
300011,Virginie Boone,@vboone
300012,Roger Voss,@vossroger
300013,Virginie Boone,@vboone
300014,Kerin O’Keefe,@kerinokeefe
300015,Matt Kettmann,@mattkettmann
300016,Anna Lee C. Iijima,
300017,Michael Schachner,@wineschach
300018,Michael Schachner,@wineschach
300019,Michael Schachner,@wineschach
300020,Alexander Peartree,
300021,Alexander Peartree,
300022,Paul Gregutt,@paulgwine
300023,Kerin O’Keefe,@kerinokeefe
300024,Matt Kettmann,@mattkettmann
300025,Kerin O’Keefe,@kerinokeefe
300026,Virginie Boone,@vboone
300027,Kerin O’Keefe,@kerinokeefe
300028,Kerin O’Keefe,@kerinokeefe
300029,Kerin O’Keefe,@kerinokeefe
300030,Virginie Boone,@vboone
300031,Roger Voss,@vossroger
300032,,
300033,,
300034,,
300035,,
300036,Paul Gregutt,@paulgwine
300037,Michael Schachner,@wineschach
300038,,
300039,,
300040,,
300041,,
300042,Paul Gregutt,@paulgwine
300043,Roger Voss,@vossroger
300044,,
300045,Michael Schachner,@wineschach
300046,,
300047,,
300048,,
300049,,
300050,Roger Voss,@vossroger
300051,,
300052,Michael Schachner,@wineschach
300053,,
300054,Roger Voss,@vossroger
300055,,
300056,,
300057,Virginie Boone,@vboone
300058,,
300059,Michael Schachner,@wineschach
300060,Sean P. Sullivan,@wawinereport
300061,Virginie Boone,@vboone
300062,Kerin O’Keefe,@kerinokeefe
300063,Sean P. Sullivan,@wawinereport
300064,Roger Voss,@vossroger
300065,Matt Kettmann,@mattkettmann
300066,Roger Voss,@vossroger
300067,Roger Voss,@vossroger
300068,Sean P. Sullivan,@wawinereport
300069,Jim Gordon,@gordone_cellars
300070,Roger Voss,@vossroger
300071,Sean P. Sullivan,@wawinereport
300072,Virginie Boone,@vboone
300073,Kerin O’Keefe,@kerinokeefe
300074,Virginie Boone,@vboone
300075,Virginie Boone,@vboone
300076,Virginie Boone,@vboone
300077,Anna Lee C. Iijima,
300078,Joe Czerwinski,@JoeCz
300079,Paul Gregutt,@paulgwine
300080,Roger Voss,@vossroger
300081,Michael Schachner,@wineschach
300082,Michael Schachner,@wineschach
300083,Roger Voss,@vossroger
300084,Joe Czerwinski,@JoeCz
300085,Virginie Boone,@vboone
300086,Anna Lee C. Iijima,
300087,Sean P. Sullivan,@wawinereport
300088,Virginie Boone,@vboone
300089,Kerin O’Keefe,@kerinokeefe
300090,Kerin O’Keefe,@kerinokeefe
300091,Virginie Boone,@vboone
300092,Virginie Boone,@vboone
300093,Virginie Boone,@vboone
300094,Anne Krebiehl MW,@AnneInVino
300095,Sean P. Sullivan,@wawinereport
300096,Roger Voss,@vossroger
300097,Roger Voss,@vossroger
300098,Anna Lee C. Iijima,
300099,Kerin O’Keefe,@kerinokeefe
300100,Virginie Boone,@vboone
300101,Anna Lee C. Iijima,
300102,Anna Lee C. Iijima,
300103,Anna Lee C. Iijima,
300104,Michael Schachner,@wineschach
300105,Kerin O’Keefe,@kerinokeefe
300106,Kerin O’Keefe,@kerinokeefe
300107,Kerin O’Keefe,@kerinokeefe
300108,Kerin O’Keefe,@kerinokeefe
300109,Matt Kettmann,@mattkettmann
300110,Kerin O’Keefe,@kerinokeefe
300111,Roger Voss,@vossroger
300112,Virginie Boone,@vboone
300113,Kerin O’Keefe,@kerinokeefe
300114,Kerin O’Keefe,@kerinokeefe
300115,Matt Kettmann,@mattkettmann
300116,Matt Kettmann,@mattkettmann
300117,Matt Kettmann,@mattkettmann
300118,Matt Kettmann,@mattkettmann
300119,Kerin O’Keefe,@kerinokeefe
300120,,
300121,,
300122,,
300123,,
300124,Joe Czerwinski,@JoeCz
300125,,
300126,Roger Voss,@vossroger
300127,,
300128,,
300129,,
300130,,
300131,,
300132,,
300133,Roger Voss,@vossroger
300134,,
300135,,
300136,,
300137,Joe Czerwinski,@JoeCz
300138,Roger Voss,@vossroger
300139,,
300140,,
300141,,
300142,,
300143,,
300144,,
300145,Virginie Boone,@vboone
300146,Matt Kettmann,@mattkettmann
300147,Matt Kettmann,@mattkettmann
300148,Matt Kettmann,@mattkettmann
300149,Anna Lee C. Iijima,
300150,Matt Kettmann,@mattkettmann
300151,Virginie Boone,@vboone
300152,Roger Voss,@vossroger
300153,Matt Kettmann,@mattkettmann
300154,Matt Kettmann,@mattkettmann
300155,Michael Schachner,@wineschach
300156,Matt Kettmann,@mattkettmann
300157,Anna Lee C. Iijima,
300158,Roger Voss,@vossroger
300159,Kerin O’Keefe,@kerinokeefe
300160,Kerin O’Keefe,@kerinokeefe
300161,Roger Voss,@vossroger
300162,Matt Kettmann,@mattkettmann
300163,Matt Kettmann,@mattkettmann
300164,Roger Voss,@vossroger
300165,Michael Schachner,@wineschach
300166,Michael Schachner,@wineschach
300167,Roger Voss,@vossroger
300168,Matt Kettmann,@mattkettmann
300169,Virginie Boone,@vboone
300170,Virginie Boone,@vboone
300171,Anna Lee C. Iijima,
300172,Anna Lee C. Iijima,
300173,Michael Schachner,@wineschach
300174,Paul Gregutt,@paulgwine
300175,Joe Czerwinski,@JoeCz
300176,,
300177,Michael Schachner,@wineschach
300178,,
300179,,
300180,Roger Voss,@vossroger
300181,,
300182,,
300183,,
300184,Michael Schachner,@wineschach
300185,,
300186,Michael Schachner,@wineschach
300187,,
300188,,
300189,Michael Schachner,@wineschach
300190,Michael Schachner,@wineschach
300191,,
300192,Joe Czerwinski,@JoeCz
300193,,
300194,Roger Voss,@vossroger
300195,,
300196,,
300197,,
300198,Lauren Buzzeo,@laurbuzz
300199,Virginie Boone,@vboone
300200,Jim Gordon,@gordone_cellars
300201,Kerin O’Keefe,@kerinokeefe
300202,Kerin O’Keefe,@kerinokeefe
300203,Mike DeSimone,@worldwineguys
300204,Roger Voss,@vossroger
300205,Matt Kettmann,@mattkettmann
300206,Matt Kettmann,@mattkettmann
300207,Virginie Boone,@vboone
300208,Virginie Boone,@vboone
300209,Lauren Buzzeo,@laurbuzz
300210,Joe Czerwinski,@JoeCz
300211,Lauren Buzzeo,@laurbuzz
300212,Joe Czerwinski,@JoeCz
300213,Michael Schachner,@wineschach
300214,Matt Kettmann,@mattkettmann
300215,Virginie Boone,@vboone
300216,Mike DeSimone,@worldwineguys
300217,Kerin O’Keefe,@kerinokeefe
300218,Roger Voss,@vossroger
300219,Virginie Boone,@vboone
300220,Jeff Jenssen,@worldwineguys
300221,Virginie Boone,@vboone
300222,Kerin O’Keefe,@kerinokeefe
300223,Kerin O’Keefe,@kerinokeefe
300224,Kerin O’Keefe,@kerinokeefe
300225,Michael Schachner,@wineschach
300226,Lauren Buzzeo,@laurbuzz
300227,Lauren Buzzeo,@laurbuzz
300228,,
300229,,
300230,,
300231,Susan Kostrzewa,@suskostrzewa
300232,Michael Schachner,@wineschach
300233,,
300234,Paul Gregutt,@paulgwine
300235,,
300236,,
300237,,
300238,,
300239,Joe Czerwinski,@JoeCz
300240,,
300241,Roger Voss,@vossroger
300242,,
300243,,
300244,,
300245,Michael Schachner,@wineschach
300246,Michael Schachner,@wineschach
300247,,
300248,,
300249,Paul Gregutt,@paulgwine
300250,,
300251,,
300252,Paul Gregutt,@paulgwine
300253,,
300254,Michael Schachner,@wineschach
300255,,
300256,Virginie Boone,@vboone
300257,Lauren Buzzeo,@laurbuzz
300258,Lauren Buzzeo,@laurbuzz
300259,Lauren Buzzeo,@laurbuzz
300260,Roger Voss,@vossroger
300261,Paul Gregutt,@paulgwine
300262,Michael Schachner,@wineschach
300263,Virginie Boone,@vboone
300264,,
300265,Lauren Buzzeo,@laurbuzz
300266,Lauren Buzzeo,@laurbuzz
300267,Michael Schachner,@wineschach
300268,,
300269,,
300270,Roger Voss,@vossroger
300271,,
300272,Susan Kostrzewa,@suskostrzewa
300273,,
300274,Michael Schachner,@wineschach
300275,,
300276,Michael Schachner,@wineschach
300277,,
300278,,
300279,Paul Gregutt,@paulgwine
300280,,
300281,Roger Voss,@vossroger
300282,,
300283,Kerin O’Keefe,@kerinokeefe
300284,Paul Gregutt,@paulgwine
300285,Michael Schachner,@wineschach
300286,Roger Voss,@vossroger
300287,,
300288,Michael Schachner,@wineschach
300289,Roger Voss,@vossroger
300290,,
300291,Roger Voss,@vossroger
300292,Kerin O’Keefe,@kerinokeefe
300293,Roger Voss,@vossroger
300294,Joe Czerwinski,@JoeCz
300295,Michael Schachner,@wineschach
300296,,
300297,Michael Schachner,@wineschach
300298,,
300299,Michael Schachner,@wineschach
300300,,
300301,,
300302,Paul Gregutt,@paulgwine
300303,,
300304,,
300305,,
300306,Virginie Boone,@vboone
300307,Anna Lee C. Iijima,
300308,Roger Voss,@vossroger
300309,Susan Kostrzewa,@suskostrzewa
300310,,
300311,,
300312,Joe Czerwinski,@JoeCz
300313,,
300314,,
300315,,
300316,,
300317,Roger Voss,@vossroger
300318,Roger Voss,@vossroger
300319,Michael Schachner,@wineschach
300320,,
300321,,
300322,,
300323,,
300324,Michael Schachner,@wineschach
300325,,
300326,Susan Kostrzewa,@suskostrzewa
300327,,
300328,Michael Schachner,@wineschach
300329,,
300330,,
300331,,
300332,Michael Schachner,@wineschach
300333,,
300334,,
300335,Roger Voss,@vossroger
300336,,
300337,Michael Schachner,@wineschach
300338,Lauren Buzzeo,@laurbuzz
300339,Roger Voss,@vossroger
300340,Michael Schachner,@wineschach
300341,Anne Krebiehl MW,@AnneInVino
300342,Virginie Boone,@vboone
300343,Michael Schachner,@wineschach
300344,Michael Schachner,@wineschach
300345,Michael Schachner,@wineschach
300346,Joe Czerwinski,@JoeCz
300347,Joe Czerwinski,@JoeCz
300348,Anna Lee C. Iijima,
300349,Joe Czerwinski,@JoeCz
300350,Joe Czerwinski,@JoeCz
300351,Kerin O’Keefe,@kerinokeefe
300352,Jeff Jenssen,@worldwineguys
300353,Virginie Boone,@vboone
300354,Roger Voss,@vossroger
300355,Anna Lee C. Iijima,
300356,Virginie Boone,@vboone
300357,Joe Czerwinski,@JoeCz
300358,Roger Voss,@vossroger
300359,Anna Lee C. Iijima,
300360,Roger Voss,@vossroger
300361,Joe Czerwinski,@JoeCz
300362,Kerin O’Keefe,@kerinokeefe
300363,Virginie Boone,@vboone
300364,Roger Voss,@vossroger
300365,Paul Gregutt,@paulgwine
300366,Joe Czerwinski,@JoeCz
300367,Joe Czerwinski,@JoeCz
300368,Michael Schachner,@wineschach
300369,Joe Czerwinski,@JoeCz
300370,Joe Czerwinski,@JoeCz
300371,,
300372,Roger Voss,@vossroger
300373,Roger Voss,@vossroger
300374,Roger Voss,@vossroger
300375,,
300376,,
300377,Roger Voss,@vossroger
300378,Roger Voss,@vossroger
300379,,
300380,Joe Czerwinski,@JoeCz
300381,Michael Schachner,@wineschach
300382,Joe Czerwinski,@JoeCz
300383,Michael Schachner,@wineschach
300384,Joe Czerwinski,@JoeCz
300385,Roger Voss,@vossroger
300386,,
300387,,
300388,,
300389,Roger Voss,@vossroger
300390,Joe Czerwinski,@JoeCz
300391,Michael Schachner,@wineschach
300392,Michael Schachner,@wineschach
300393,,
300394,Michael Schachner,@wineschach
300395,Michael Schachner,@wineschach
300396,Roger Voss,@vossroger
300397,,
300398,Michael Schachner,@wineschach
300399,Michael Schachner,@wineschach
300400,,
300401,,
300402,,
300403,Michael Schachner,@wineschach
300404,,
300405,,
300406,,
300407,Roger Voss,@vossroger
300408,Michael Schachner,@wineschach
300409,,
300410,Susan Kostrzewa,@suskostrzewa
300411,Susan Kostrzewa,@suskostrzewa
300412,,
300413,,
300414,,
300415,,
300416,Susan Kostrzewa,@suskostrzewa
300417,,
300418,,
300419,Roger Voss,@vossroger
300420,Roger Voss,@vossroger
300421,Roger Voss,@vossroger
300422,Sean P. Sullivan,@wawinereport
300423,Sean P. Sullivan,@wawinereport
300424,Anne Krebiehl MW,@AnneInVino
300425,Jim Gordon,@gordone_cellars
300426,Anna Lee C. Iijima,
300427,Michael Schachner,@wineschach
300428,Anna Lee C. Iijima,
300429,Anne Krebiehl MW,@AnneInVino
300430,Sean P. Sullivan,@wawinereport
300431,Matt Kettmann,@mattkettmann
300432,Matt Kettmann,@mattkettmann
300433,Sean P. Sullivan,@wawinereport
300434,Jim Gordon,@gordone_cellars
300435,Kerin O’Keefe,@kerinokeefe
300436,Anne Krebiehl MW,@AnneInVino
300437,Kerin O’Keefe,@kerinokeefe
300438,Virginie Boone,@vboone
300439,Michael Schachner,@wineschach
300440,Michael Schachner,@wineschach
300441,Sean P. Sullivan,@wawinereport
300442,Anne Krebiehl MW,@AnneInVino
300443,Anna Lee C. Iijima,
300444,Virginie Boone,@vboone
300445,Anne Krebiehl MW,@AnneInVino
300446,Kerin O’Keefe,@kerinokeefe
300447,Matt Kettmann,@mattkettmann
300448,Roger Voss,@vossroger
300449,Joe Czerwinski,@JoeCz
300450,Kerin O’Keefe,@kerinokeefe
300451,Roger Voss,@vossroger
300452,Kerin O’Keefe,@kerinokeefe
300453,Roger Voss,@vossroger
300454,Roger Voss,@vossroger
300455,Sean P. Sullivan,@wawinereport
300456,,
300457,Virginie Boone,@vboone
300458,,
300459,Kerin O’Keefe,@kerinokeefe
300460,Roger Voss,@vossroger
300461,Paul Gregutt,@paulgwine
300462,Paul Gregutt,@paulgwine
300463,Roger Voss,@vossroger
300464,Roger Voss,@vossroger
300465,Anna Lee C. Iijima,
300466,Kerin O’Keefe,@kerinokeefe
300467,Roger Voss,@vossroger
300468,Paul Gregutt,@paulgwine
